"filename", "language", "C++", "comment", "blank", "total"
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\CLLScreenEvent.cpp", "C++", 45, -27, 0, 18
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\DLLScreenEvent.cpp", "C++", 31, 0, 1, 32
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\LLscreenEvent.cpp", "C++", -1, 0, 0, -1
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\arrayCodeBlock.cpp", "C++", 53, 0, 5, 58
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\arrayNode.cpp", "C++", 65, 0, 9, 74
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\arrayScreen.cpp", "C++", 278, 0, 11, 289
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\arrayScreenEvent.cpp", "C++", 624, 18, 20, 662
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\constants.cpp", "C++", 23, 0, 4, 27
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\fadecolor.cpp", "C++", 9, 0, 0, 9
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\main.cpp", "C++", 79, -63, 0, 16
"Total", "-", 1206, -72, 50, 1184
