"filename", "language", "C++", "comment", "blank", "total"
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\DLLNode.cpp", "C++", -220, -2, -23, -245
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\DLLScreen.cpp", "C++", -1, 0, -1, -2
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\LLscreen.cpp", "C++", -8, -7, 0, -15
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\LLscreenEvent.cpp", "C++", -1, 0, 0, -1
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\arrayNode.cpp", "C++", 19, 0, 4, 23
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\constants.cpp", "C++", 4, 0, 0, 4
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\dArrayCodeBlock.cpp", "C++", 58, 0, 5, 63
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\dArrayScreen.cpp", "C++", 277, 0, 13, 290
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\dArrayScreenEvent.cpp", "C++", 668, 17, 22, 707
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\general.cpp", "C++", 4, 0, 0, 4
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\main.cpp", "C++", 16, 0, 0, 16
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\menuInitialScreen.cpp", "C++", 0, 2, 0, 2
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\node.cpp", "C++", -152, -9, -16, -177
"d:\Study\college\1stYear\CSC10002\Project\Menu\code\textureNode.cpp", "C++", 114, 0, 11, 125
"Total", "-", 778, 1, 15, 794
